concentration,a,b,c
1000,253.6,255.4,249.65
600,245.6,248.5,243.4
360,246.5,242.75,240.65
216,239.6,233.6,235.9
129.6,230.9,223.6,229.55
77.76,213.3,206.7,216.25
46.656,194.1,177.95,198.15
27.9936,173.3,165.6,175.35
16.79616,164.1,155.8,161.9
10.077696,162.5,155,158.45
6.0466176,161.7,154.5,156.45
3.62797056,161.3,154.65,158.6
2.17678234,162.5,154.8,158.2
1.3060694,161.5,154.95,157.2
0.78364164,162.3,155.35,158.8
0.47018498,158.9,153.95,158.4
0.28211099,160.7,155,158.95
0.16926659,161.4,154.35,160.3
0.10155996,161.2,154.5,160.05
0.06093597,161.3,153.75,158.65
0.03656158,159.9,155.8,157.75
0.02193695,159.7,155.25,155.55
0,156.3,154.75,155.6
0,153.4,151.5,151.35
