concentration,rep1,rep2,rep3
1000,269.8,253.3,272.7
600,264.55,241.1,264.15
360,252.15,235.05,256.35
216,251.6,224.4,247.45
129.6,241.4,214,235.05
77.76,225.3,204.6,226.15
46.656,212.35,189.9,218.35
27.9936,194.7,165.85,199.5
16.79616,172.5,149.9,174.7
10.077696,151,121.65,153.2
6.0466176,132.95,101.7,134.6
3.62797056,108.65,82.55,114.7
2.176782336,95,72.5,96.4
1.306069402,85.5,64.75,84.8
0.783641641,82.4,60.85,76.45
0.470184985,77.1,59.7,74.85
0.282110991,74.3,56.7,74.9
0.169266594,71.95,59.4,69.95
0.101559957,74.9,55.8,71.75
0.060935974,71.65,59.1,71.8
0.036561584,70.5,50.65,71.85
0.021936951,73.35,55.5,66.45
0,70.45,57.75,72.25
0,68.95,52,66.55
