conc,fp1,fp2
1000,274.8,274.3
600,273.8,281.6
360,273.9,280.3
216,277.7,276.1
129.6,269.9,271.3
77.76,264.2,269.4
46.656,254.2,250.3
27.9936,231.7,250.4
16.79616,200.1,222.1
10.077696,149.4,184.5
6.0466176,118.8,152.1
3.62797056,88.3,103.5
2.176782336,79.9,88.1
1.306069402,73.8,75.4
0.783641641,67.7,80
0.470184985,76,68.9
0.282110991,69.8,71.1
0.169266594,74.5,69.8
0.101559957,77.1,70.7
0.060935974,73.1,70.7
0.036561584,71.5,65.6
0.021936951,65.1,69.7
0,66.6,69.3
0,69.5,62.6
