conc,fret1,fret2,fret3
18500,77399.6175,91059.7227,95199.4909
11100,66423.3655,67492.6788,72408.1168
6660,50291.1147,47294.0395,58860.0045
3996,38853.5166,34167.0933,40830.0003
2397.6,22600.7186,22959.3154,27131.1826
1438.56,17119.1777,14416.194,18900.112
863.136,10467.1401,10236.1291,11346.5639
517.8816,6617.0485,5749.95661,8078.68437
310.72896,3932.91154,3871.81491,5108.66095
186.437376,2448.86723,2782.96732,3368.1505
111.8624256,1446.91129,2159.28724,2400.67349
67.11745536,4631.40134,855.187867,1672.33936
40.27047322,1712.87255,1330.02398,1250.80087
24.16228393,938.64114,1021.82231,1455.31687
14.49737036,1356.85838,1817.32973,1010.31747
8.698422215,0,0,85.5468932
5.219053329,365.756131,512.06527,1015.79365
3.131431997,40.7750171,1273.82162,0
1.878859198,446.468321,997.762918,920.651248
1.127315519,267.226302,494.858253,596.167143
0.676389311,994.843782,481.613494,782.913462
0.405833587,559.65357,841.371255,1800.4755
0,334.836553,1167.32035,887.001665
0,260.445685,1361.04629,375.703506
